,Origin City,Origin Airport,Destination City,Destination Airport,Date,Route Number,Distance (km),Price
0,PARIS,CDG,SPLIT,SPU,2025/07/01,1,1234.2,174.67
1,SPLIT,SPU,BARCELONA,BCN,2025/07/05,1,1193.56,168.33
2,BARCELONA,BCN,LISBON,LIS,2025/07/09,1,1005.14,55.84
3,LISBON,LIS,BERLIN,BER,2025/07/13,1,2312.83,141.12
4,BERLIN,BER,IBIZA,IBZ,2025/07/17,1,1766.37,150.96
5,IBIZA,IBZ,PARIS,CDG,2025/07/21,1,1101.1,177.32
6,LISBON,LIS,IBIZA,IBZ,2025/07/13,1,912.17,89.98
7,IBIZA,IBZ,BERLIN,BER,2025/07/17,1,1766.37,10000000000.0
8,BERLIN,BER,PARIS,CDG,2025/07/21,1,878.4,141.78
9,BARCELONA,BCN,BERLIN,BER,2025/07/09,1,1500.32,132.84
10,BERLIN,BER,LISBON,LIS,2025/07/13,1,2312.83,145.42
11,LISBON,LIS,IBIZA,IBZ,2025/07/17,1,912.17,89.98
12,BERLIN,BER,IBIZA,IBZ,2025/07/13,1,1766.37,110.42
13,IBIZA,IBZ,LISBON,LIS,2025/07/17,1,912.17,75.55
14,LISBON,LIS,PARIS,CDG,2025/07/21,1,1452.72,148.12
15,BARCELONA,BCN,IBIZA,IBZ,2025/07/09,1,276.1,88.88
16,IBIZA,IBZ,LISBON,LIS,2025/07/13,1,912.17,105.55
17,LISBON,LIS,BERLIN,BER,2025/07/17,1,2312.83,141.12
18,IBIZA,IBZ,BERLIN,BER,2025/07/13,1,1766.37,107.32
19,BERLIN,BER,LISBON,LIS,2025/07/17,1,2312.83,164.42
20,SPLIT,SPU,LISBON,LIS,2025/07/05,1,2198.11,195.09
21,LISBON,LIS,BARCELONA,BCN,2025/07/09,1,1005.14,60.62
22,BARCELONA,BCN,BERLIN,BER,2025/07/13,1,1500.32,136.50
23,BARCELONA,BCN,IBIZA,IBZ,2025/07/13,1,276.1,88.88
24,LISBON,LIS,BERLIN,BER,2025/07/09,1,2312.83,141.12
25,BERLIN,BER,BARCELONA,BCN,2025/07/13,1,1500.32,146.58
26,BARCELONA,BCN,IBIZA,IBZ,2025/07/17,1,276.1,88.88
27,IBIZA,IBZ,BARCELONA,BCN,2025/07/17,1,276.1,78.64
28,BARCELONA,BCN,PARIS,CDG,2025/07/21,1,830.16,105.00
29,LISBON,LIS,IBIZA,IBZ,2025/07/09,1,912.17,89.98
30,IBIZA,IBZ,BARCELONA,BCN,2025/07/13,1,276.1,70.30
31,BARCELONA,BCN,BERLIN,BER,2025/07/17,1,1500.32,136.50
32,BERLIN,BER,BARCELONA,BCN,2025/07/17,1,1500.32,171.03
33,SPLIT,SPU,BERLIN,BER,2025/07/05,1,1027.23,102.97
34,BERLIN,BER,BARCELONA,BCN,2025/07/09,1,1500.32,146.58
35,BARCELONA,BCN,LISBON,LIS,2025/07/13,1,1005.14,55.84
36,BERLIN,BER,LISBON,LIS,2025/07/09,1,2312.83,145.42
37,LISBON,LIS,BARCELONA,BCN,2025/07/13,1,1005.14,60.62
38,BERLIN,BER,IBIZA,IBZ,2025/07/09,1,1766.37,145.03
39,BARCELONA,BCN,LISBON,LIS,2025/07/17,1,1005.14,55.84
40,LISBON,LIS,BARCELONA,BCN,2025/07/17,1,1005.14,60.62
41,SPLIT,SPU,IBIZA,IBZ,2025/07/05,1,1352.3,187.86
42,IBIZA,IBZ,BARCELONA,BCN,2025/07/09,1,276.1,62.64
43,IBIZA,IBZ,LISBON,LIS,2025/07/09,1,912.17,75.55
44,IBIZA,IBZ,BERLIN,BER,2025/07/09,1,1766.37,141.93
45,PARIS,CDG,BARCELONA,BCN,2025/07/01,1,830.16,127.77
46,BARCELONA,BCN,SPLIT,SPU,2025/07/05,1,1193.56,159.58
47,SPLIT,SPU,LISBON,LIS,2025/07/09,1,2198.11,188.33
48,SPLIT,SPU,BERLIN,BER,2025/07/09,1,1027.23,127.58
49,SPLIT,SPU,IBIZA,IBZ,2025/07/09,1,1352.3,190.21
50,BARCELONA,BCN,LISBON,LIS,2025/07/05,1,1005.14,55.84
51,LISBON,LIS,SPLIT,SPU,2025/07/09,1,2198.11,197.24
52,SPLIT,SPU,BERLIN,BER,2025/07/13,1,1027.23,127.58
53,SPLIT,SPU,IBIZA,IBZ,2025/07/13,1,1352.3,183.08
54,BERLIN,BER,SPLIT,SPU,2025/07/13,1,1027.23,141.04
55,SPLIT,SPU,IBIZA,IBZ,2025/07/17,1,1352.3,169.33
56,IBIZA,IBZ,SPLIT,SPU,2025/07/17,1,1352.3,210.97
57,SPLIT,SPU,PARIS,CDG,2025/07/21,1,1234.2,150.30
58,IBIZA,IBZ,SPLIT,SPU,2025/07/13,1,1352.3,190.12
59,SPLIT,SPU,BERLIN,BER,2025/07/17,1,1027.23,127.58
60,BERLIN,BER,SPLIT,SPU,2025/07/17,1,1027.23,129.03
61,BARCELONA,BCN,BERLIN,BER,2025/07/05,1,1500.32,136.50
62,BERLIN,BER,SPLIT,SPU,2025/07/09,1,1027.23,129.03
63,SPLIT,SPU,LISBON,LIS,2025/07/13,1,2198.11,183.08
64,LISBON,LIS,SPLIT,SPU,2025/07/13,1,2198.11,176.45
65,SPLIT,SPU,LISBON,LIS,2025/07/17,1,2198.11,188.33
