Route Number,Path,Total Distance (km),Total Price
1,PARIS -> BARCELONA -> IBIZA -> LISBON -> SPLIT -> BERLIN,6122.17,722.01
2,PARIS -> BARCELONA -> IBIZA -> LISBON -> SPLIT -> BERLIN,6122.17,949.49
3,PARIS -> NICE -> ROME -> MAJORCA -> IBIZA -> MYKONOS,6493.99,772.9
4,PARIS -> NICE -> ROME -> MAJORCA -> IBIZA -> MYKONOS,6493.99,1338.91
5,TAMPA -> FORT LAUDERDALE -> MIAMI -> WASHINGTON -> NEW YORK CITY -> BOSTON,4372.41,1501.52
6,TAMPA -> FORT LAUDERDALE -> MIAMI -> WASHINGTON -> NEW YORK CITY -> BOSTON,4372.41,1450.51
7,TAMPA -> ORLANDO -> VIRGINIA BEACH -> PHILADELPHIA -> NEW YORK CITY -> CHARLESTON,3522.81,10000001647.04
8,TAMPA -> ORLANDO -> VIRGINIA BEACH -> PHILADELPHIA -> NEW YORK CITY -> CHARLESTON,3522.81,1290.95
9,SAN DIEGO -> LOS ANGELES -> LAS VEGAS -> SAN FRANCISCO -> AUSTIN -> CHICAGO,7989.23,884.17
10,SAN DIEGO -> LOS ANGELES -> LAS VEGAS -> SAN FRANCISCO -> AUSTIN -> CHICAGO,7989.23,883.79
11,"SAN DIEGO -> PHOENIX -> SALT LAKE CITY -> PORTLAND, OREGON -> SEATTLE -> CHICAGO",8121.18,1014.12
12,"SAN DIEGO -> PHOENIX -> SALT LAKE CITY -> PORTLAND, OREGON -> SEATTLE -> CHICAGO",8121.18,1071.83
13,PARIS -> BRUSSELS -> AMSTERDAM -> LONDON -> PRAGUE -> MADRID,4652.25,10000001420.32
14,PARIS -> LONDON -> AMSTERDAM -> ZURICH -> MILAN -> VIENNA,3192.19,20000001729.67
15,PARIS -> BUDAPEST -> KRAKOW -> WARSAW -> SOFIA,4620.76,952.42
16,"TAMPA -> NEW YORK CITY -> BOSTON -> PORTLAND,MAINE -> STOWE,VERMONT",4326.02,40000000383.26
17,"TAMPA -> WASHINGTON,D.C.  -> PHILADELPHIA -> NEW YORK CITY -> PORTLAND,MAINE",4317.27,50000000000.0
18,SAN DIEGO -> MAMMOTH MOUNTAIN -> SALT LAKE CITY -> ASPEN -> VAIL,3043.17,50000000000.0
19,SAN DIEGO -> LAKE TAHOE -> BEND -> PARK CITY -> ASPEN,3814.17,50000000000.0
20,"VIENNA -> VENICE,ITALY -> ROME -> AIX-EN-PROVENCE -> BARCELONA -> PORTO",4807.64,717.3
21,"VIENNA -> VENICE,ITALY -> ROME -> AIX-EN-PROVENCE -> BARCELONA -> PORTO",4807.64,958.35
22,VIENNA -> BERLIN -> COPENHAGEN -> BRUGES -> FLORENCE -> LISBON,6779.48,765.27
23,VIENNA -> BERLIN -> COPENHAGEN -> BRUGES -> FLORENCE -> LISBON,6779.48,923.86
24,"SARASOTA -> NEW ORLEANS -> ASHEVILLE -> WASHINGTON,D.C. -> CHARLESTON -> NANTUCKET",5011.68,1996.98
25,"SARASOTA -> NEW ORLEANS -> ASHEVILLE -> WASHINGTON,D.C. -> CHARLESTON -> NANTUCKET",5011.68,1496.73
26,SARASOTA -> KEY WEST -> SAVANNAH -> GATLINBURG -> CAPE COD -> BAR HARBOR,5576.95,20000001125.41
27,SARASOTA -> KEY WEST -> SAVANNAH -> GATLINBURG -> CAPE COD -> BAR HARBOR,5576.95,30000000686.11
28,"SANTA BARBARA -> SAN DIEGO -> SEDONA -> SANTA FE, NEW MEXICO -> SAN ANTONIO -> YELLOWSTONE NATIONAL PARK",5744.98,1773.43
29,"SANTA BARBARA -> SAN DIEGO -> SEDONA -> YELLOWSTONE NATIONAL PARK -> SANTA FE, NEW MEXICO -> SAN ANTONIO",6064.4,1410.58
30,"SANTA BARBARA -> PALM SPRINGS -> JACKSON HOLE, WYOMING -> PORTLAND, OREGON -> NAPA VALLEY -> CHICAGO",8497.26,1245.68
31,"SANTA BARBARA -> PALM SPRINGS -> JACKSON HOLE, WYOMING -> PORTLAND, OREGON -> NAPA VALLEY -> CHICAGO",8497.26,1374.93
