Route Number,Path,Total Distance (km),Total Price
1,PARIS -> BARCELONA -> IBIZA -> LISBON -> SPLIT -> BERLIN,5243.77,592.41
2,PARIS -> BARCELONA -> IBIZA -> LISBON -> SPLIT -> BERLIN,5243.77,708.82
3,PARIS -> NICE -> ROME -> MAJORCA -> IBIZA -> MYKONOS,4250.0199999999995,934.08
4,PARIS -> NICE -> ROME -> MAJORCA -> IBIZA -> MYKONOS,4250.0199999999995,816.87
5,TAMPA -> FORT LAUDERDALE -> MIAMI -> WASHINGTON -> NEW YORK CITY -> BOSTON,2468.1,3155.87
6,TAMPA -> FORT LAUDERDALE -> MIAMI -> WASHINGTON -> NEW YORK CITY -> BOSTON,2468.1,1302.01
7,TAMPA -> ORLANDO -> VIRGINIA BEACH -> PHILADELPHIA -> NEW YORK CITY -> CHARLESTON,2363.59,1763.2600000000002
8,TAMPA -> ORLANDO -> VIRGINIA BEACH -> PHILADELPHIA -> NEW YORK CITY -> CHARLESTON,2363.59,10000001082.15
9,SAN DIEGO -> LOS ANGELES -> LAS VEGAS -> SAN FRANCISCO -> AUSTIN -> CHICAGO,5205.13,729.81
10,SAN DIEGO -> LOS ANGELES -> LAS VEGAS -> SAN FRANCISCO -> AUSTIN -> CHICAGO,5205.13,680.99
11,"SAN DIEGO -> PHOENIX -> SALT LAKE CITY -> PORTLAND, OREGON -> SEATTLE -> CHICAGO",5337.08,782.23
12,"SAN DIEGO -> PHOENIX -> SALT LAKE CITY -> PORTLAND, OREGON -> SEATTLE -> CHICAGO",5337.08,1091.38
13,PARIS -> BRUSSELS -> AMSTERDAM -> LONDON -> PRAGUE -> MADRID,3599.8,2438.81
14,PARIS -> LONDON -> AMSTERDAM -> ZURICH -> MILAN -> VIENNA,2158.5699999999997,1286.54
15,PARIS -> BUDAPEST -> KRAKOW -> WARSAW -> SOFIA,2863.2,803.25
16,"TAMPA -> NEW YORK CITY -> BOSTON -> PORTLAND,MAINE -> STOWE,VERMONT",2294.44,30000000383.260002
17,"TAMPA -> WASHINGTON,D.C.  -> PHILADELPHIA -> NEW YORK CITY -> PORTLAND,MAINE",2257.4,40000000000.0
18,SAN DIEGO -> MAMMOTH MOUNTAIN -> SALT LAKE CITY -> ASPEN -> VAIL,1808.15,40000000000.0
19,SAN DIEGO -> LAKE TAHOE -> BEND -> PARK CITY -> ASPEN,2638.79,40000000000.0
20,"VIENNA -> VENICE,ITALY -> ROME -> AIX-EN-PROVENCE -> BARCELONA -> PORTO",2693.93,637.4100000000001
21,"VIENNA -> VENICE,ITALY -> ROME -> AIX-EN-PROVENCE -> BARCELONA -> PORTO",2693.93,784.6400000000001
22,VIENNA -> BERLIN -> COPENHAGEN -> BRUGES -> FLORENCE -> LISBON,4481.18,606.64
23,VIENNA -> BERLIN -> COPENHAGEN -> BRUGES -> FLORENCE -> LISBON,4481.18,713.74
24,"SARASOTA -> NEW ORLEANS -> ASHEVILLE -> WASHINGTON,D.C. -> CHARLESTON -> NANTUCKET",3089.47,1533.02
25,"SARASOTA -> NEW ORLEANS -> ASHEVILLE -> WASHINGTON,D.C. -> CHARLESTON -> NANTUCKET",3089.47,1264.58
26,SARASOTA -> KEY WEST -> SAVANNAH -> GATLINBURG -> CAPE COD -> BAR HARBOR,3290.72,30000000512.469997
27,SARASOTA -> KEY WEST -> SAVANNAH -> GATLINBURG -> CAPE COD -> BAR HARBOR,3290.72,20000000889.42
28,"SANTA BARBARA -> SAN DIEGO -> SEDONA -> SANTA FE, NEW MEXICO -> SAN ANTONIO -> YELLOWSTONE NATIONAL PARK",4369.81,1177.06
29,"SANTA BARBARA -> SAN DIEGO -> SEDONA -> YELLOWSTONE NATIONAL PARK -> SANTA FE, NEW MEXICO -> SAN ANTONIO",3991.8900000000003,1163.77
30,"SANTA BARBARA -> PALM SPRINGS -> JACKSON HOLE, WYOMING -> PORTLAND, OREGON -> NAPA VALLEY -> CHICAGO",5594.12,1036.75
31,"SANTA BARBARA -> PALM SPRINGS -> JACKSON HOLE, WYOMING -> PORTLAND, OREGON -> NAPA VALLEY -> CHICAGO",5594.12,918.24
