Route ID,Start City,Start Date,Greedy Route,Optimal Route,Greedy Price,Optimal Price,Target Audience,Region,Subregion,Month,Trip ID,Greedy Distance
1,PARIS,2025-07-01,"['BARCELONA', 'IBIZA', 'LISBON', 'SPLIT', 'BERLIN']","['BARCELONA', 'LISBON', 'BERLIN', 'IBIZA', 'SPLIT']",722.01,660.24,YOUNG,EUROPE,WEST,JULY,A,5243.77
2,PARIS,2025-08-01,"['BARCELONA', 'IBIZA', 'LISBON', 'SPLIT', 'BERLIN']","['BARCELONA', 'LISBON', 'BERLIN', 'IBIZA', 'SPLIT']",949.49,836.46,YOUNG,EUROPE,WEST,AUGUST,A,5243.77
3,PARIS,2025-07-01,"['NICE', 'ROME', 'MAJORCA', 'IBIZA', 'MYKONOS']","['MAJORCA', 'MYKONOS', 'IBIZA', 'ROME', 'NICE']",772.9,670.43,YOUNG,EUROPE,WEST,JULY,B,4250.02
4,PARIS,2025-08-01,"['NICE', 'ROME', 'MAJORCA', 'IBIZA', 'MYKONOS']","['MAJORCA', 'IBIZA', 'MYKONOS', 'ROME', 'NICE']",1338.91,707.53,YOUNG,EUROPE,WEST,AUGUST,B,4250.02
5,TAMPA,2025-07-01,"['FORT LAUDERDALE', 'MIAMI', 'WASHINGTON', 'NEW YORK CITY', 'BOSTON']","['FORT LAUDERDALE', 'NEW YORK CITY', 'MIAMI', 'CAPE COD', 'WASHINGTON,D.C.']",1501.52,887.77,YOUNG,USA,EAST,JULY,A,2468.1
6,TAMPA,2025-08-01,"['FORT LAUDERDALE', 'MIAMI', 'WASHINGTON', 'NEW YORK CITY', 'BOSTON']","['NEW YORK CITY', 'MIAMI', 'CAPE COD', 'WASHINGTON,D.C.', 'FORT LAUDERDALE']",1450.51,737.13,YOUNG,USA,EAST,AUGUST,A,2468.1
7,TAMPA,2025-07-01,"['ORLANDO', 'VIRGINIA BEACH', 'PHILADELPHIA', 'NEW YORK CITY', 'CHARLESTON']","['PHILADELPHIA', 'ORLANDO', 'NEW YORK CITY', 'CHARLESTON', 'VIRGINIA BEACH']",1647.04,1198.37,YOUNG,USA,EAST,JULY,B,2363.59
8,TAMPA,2025-08-01,"['ORLANDO', 'VIRGINIA BEACH', 'PHILADELPHIA', 'NEW YORK CITY', 'CHARLESTON']","['PHILADELPHIA', 'ORLANDO', 'NEW YORK CITY', 'VIRGINIA BEACH', 'CHARLESTON']",1290.95,953.33,YOUNG,USA,EAST,AUGUST,B,2363.59
9,SAN DIEGO,2025-07-01,"['LOS ANGELES', 'LAS VEGAS', 'SAN FRANCISCO', 'AUSTIN', 'CHICAGO']","['LAS VEGAS', 'CHICAGO', 'NAPA VALLEY', 'AUSTIN', 'LOS ANGELES']",884.17,711.35,YOUNG,USA,WEST,JULY,A,5205.13
10,SAN DIEGO,2025-08-01,"['LOS ANGELES', 'LAS VEGAS', 'SAN FRANCISCO', 'AUSTIN', 'CHICAGO']","['LAS VEGAS', 'LOS ANGELES', 'CHICAGO', 'NAPA VALLEY', 'AUSTIN']",883.79,766.55,YOUNG,USA,WEST,AUGUST,A,5205.13
11,SAN DIEGO,2025-07-01,"['PHOENIX', 'SALT LAKE CITY', 'PORTLAND, OREGON', 'SEATTLE', 'CHICAGO']","['PARK CITY', 'SEATTLE', 'PORTLAND, OREGON', 'SEDONA', 'CHICAGO']",1014.12,853.32,YOUNG,USA,WEST,JULY,B,5337.08
12,SAN DIEGO,2025-08-01,"['PHOENIX', 'SALT LAKE CITY', 'PORTLAND, OREGON', 'SEATTLE', 'CHICAGO']","['PARK CITY', 'PORTLAND, OREGON', 'CHICAGO', 'SEDONA', 'SEATTLE']",1071.83,877.01,YOUNG,USA,WEST,AUGUST,B,5337.08
13,VIENNA,2025-07-01,"['VENICE,ITALY', 'ROME', 'AIX-EN-PROVENCE', 'BARCELONA', 'PORTO']","['PORTO', 'BARCELONA', 'VENICE,ITALY', 'AIX-EN-PROVENCE', 'ROME']",717.3,528.32,ELDER,EUROPE,A,JULY,A,2693.93
14,VIENNA,2025-08-01,"['VENICE,ITALY', 'ROME', 'AIX-EN-PROVENCE', 'BARCELONA', 'PORTO']","['PORTO', 'BARCELONA', 'VENICE,ITALY', 'AIX-EN-PROVENCE', 'ROME']",958.35,702.24,ELDER,EUROPE,A,AUGUST,A,2693.93
15,VIENNA,2025-07-01,"['BERLIN', 'COPENHAGEN', 'BRUGES', 'FLORENCE', 'LISBON']","['LISBON', 'BRUGES', 'FLORENCE', 'COPENHAGEN', 'BERLIN']",765.27,648.86,ELDER,EUROPE,B,JULY,B,4481.18
16,VIENNA,2025-08-01,"['BERLIN', 'COPENHAGEN', 'BRUGES', 'FLORENCE', 'LISBON']","['LISBON', 'FLORENCE', 'COPENHAGEN', 'BRUGES', 'BERLIN']",923.86,761.71,ELDER,EUROPE,B,AUGUST,B,4481.18
17,SARASOTA,2025-07-01,"['NEW ORLEANS', 'ASHEVILLE', 'WASHINGTON,D.C.', 'CHARLESTON', 'NANTUCKET']","['ASHEVILLE', 'NEW ORLEANS', 'CHARLESTON', 'NANTUCKET', 'WASHINGTON,D.C.']",1996.98,1572.35,ELDER,USA,EAST,JULY,A,3089.47
18,SARASOTA,2025-08-01,"['NEW ORLEANS', 'ASHEVILLE', 'WASHINGTON,D.C.', 'CHARLESTON', 'NANTUCKET']","['NEW ORLEANS', 'WASHINGTON,D.C.', 'CHARLESTON', 'NANTUCKET', 'ASHEVILLE']",1496.73,1174.92,ELDER,USA,EAST,AUGUST,A,3089.47
