,Route ID,Start City,Start Date,Greedy Route,Optimal Route,Greedy Price,Optimal Price,Season,Target Audience,Region,Subregion,Month,Trip ID
0,1,PARIS,2025-07-01,,"['BARCELONA', 'LISBON', 'BERLIN', 'IBIZA', 'SPLIT']",,660.24,SUMMER,YOUNG,EUROPE,WEST,JULY,A
1,2,PARIS,2025-08-01,,"['BARCELONA', 'LISBON', 'BERLIN', 'IBIZA', 'SPLIT']",,836.46,SUMMER,YOUNG,EUROPE,WEST,AUGUST,A
2,3,PARIS,2025-07-01,,"['MAJORCA', 'MYKONOS', 'IBIZA', 'ROME', 'NICE']",,670.43,SUMMER,YOUNG,EUROPE,WEST,JULY,B
3,4,PARIS,2025-08-01,,"['MAJORCA', 'IBIZA', 'MYKONOS', 'ROME', 'NICE']",,707.53,SUMMER,YOUNG,EUROPE,WEST,AUGUST,B
4,5,TAMPA,2025-07-01,,"['FORT LAUDERDALE', 'NEW YORK CITY', 'MIAMI', 'CAPE COD', 'WASHINGTON,D.C.']",,887.77,SUMMER,YOUNG,USA,EAST,JULY,A
5,6,TAMPA,2025-08-01,,"['NEW YORK CITY', 'MIAMI', 'CAPE COD', 'WASHINGTON,D.C.', 'FORT LAUDERDALE']",,737.13,SUMMER,YOUNG,USA,EAST,AUGUST,A
6,7,TAMPA,2025-07-01,,"['PHILADELPHIA', 'ORLANDO', 'NEW YORK CITY', 'CHARLESTON', 'VIRGINIA BEACH']",,1198.37,SUMMER,YOUNG,USA,EAST,JULY,B
7,8,TAMPA,2025-08-01,,"['PHILADELPHIA', 'ORLANDO', 'NEW YORK CITY', 'VIRGINIA BEACH', 'CHARLESTON']",,953.33,SUMMER,YOUNG,USA,EAST,AUGUST,B
8,9,SAN DIEGO,2025-07-01,,"['LAS VEGAS', 'CHICAGO', 'NAPA VALLEY', 'AUSTIN', 'LOS ANGELES']",,711.35,SUMMER,YOUNG,USA,WEST,JULY,A
9,10,SAN DIEGO,2025-08-01,,"['LAS VEGAS', 'LOS ANGELES', 'CHICAGO', 'NAPA VALLEY', 'AUSTIN']",,766.55,SUMMER,YOUNG,USA,WEST,AUGUST,A
